Doc_ID,openForComment
FAA-2023-2399-0001,False
RBS-23-BUSINESS-0023-0001,False
FAA-2023-2383-0002,False
EERE-2009-BT-BC-0021-2575,False
FAA-2024-0022-0001,False
EERE-2009-BT-BC-0021-2580,False
EERE-2009-BT-BC-0021-2579,False
EERE-2009-BT-BC-0021-2576,False
EPA-HQ-OAR-2004-0074-0257,False
EPA-HQ-OAR-2004-0042-0091,False
EPA-HQ-OAR-2004-0233-0122,False
EPA-HQ-OAR-2004-0233-0133,False
EPA-HQ-OAR-2003-0072-0421,False
EPA-HQ-OAR-2003-0072-0429,False
EPA-HQ-OAR-2003-0072-0437,False
EPA-HQ-OAR-2003-0072-0454,False
EPA-HQ-OAR-2003-0072-0466,False
EPA-HQ-OAR-2003-0017-0422,False
FEC-2024-0002-0001,False
FAA-2024-0010-0001,False
NRC-2023-0001-0054,False
NRC-2023-0207-0001,False
FAA-2024-0019-0001,False
NRC-2023-0200-0002,False
FAA-2024-0009-0001,False
EPA-HQ-OAR-1983-0057-0628,False
EPA-R07-OAR-2023-0582-0002,False
EPA-R07-OAR-2023-0582-0031,False
BIS-2023-0039-0001,False
FDA-2023-H-5707-0001,False
FDA-2023-H-5708-0001,False
FDA-2023-H-5722-0001,False
FDA-2023-P-5590-0008,False
FRA-2010-0043-0111,False
FMCSA-2023-0253-0004,False
FMCSA-2023-0286-0002,False
FAA-2024-0062-0001,False
EPA-HQ-OAR-2004-0074-0256,False
EPA-HQ-OAR-2004-0042-0090,False
EPA-HQ-OAR-2004-0042-0093,False
EPA-HQ-OAR-2004-0042-0096,False
EPA-HQ-OAR-2004-0233-0125,False
EPA-HQ-OAR-2003-0072-0407,False
EPA-HQ-OAR-2003-0072-0411,False
EPA-HQ-OAR-2003-0072-0415,False
EPA-HQ-OAR-2003-0072-0448,False
EPA-HQ-OAR-2003-0017-0425,False
EPA-HQ-OAR-2003-0017-0429,False
EPA-HQ-OAR-2003-0017-0436,False
EPA-HQ-OAR-2003-0017-0444,False
EPA-HQ-OAR-2004-0074-0262,False
EPA-HQ-OAR-2004-0074-0263,False
EPA-HQ-OAR-2004-0042-0092,False
EPA-HQ-OAR-2004-0042-0097,False
EPA-HQ-OAR-2004-0042-0101,False
EPA-HQ-OAR-2004-0042-0104,False
EPA-HQ-OAR-2004-0233-0134,False
EPA-HQ-OAR-2003-0072-0414,False
EPA-HQ-OAR-2003-0072-0425,False
EPA-HQ-OAR-2003-0072-0438,False
EPA-HQ-OAR-2003-0072-0442,False
EPA-HQ-OAR-2003-0072-0446,False
EPA-HQ-OAR-2003-0072-0449,False
EPA-HQ-OAR-2003-0017-0426,False
CITA-2024-0001-0001,False
CEQ-2023-0003-82034,False
CEQ-2023-0003-82036,False
CEQ-2023-0003-82038,False
SEC-2024-0003-0001,False
ITA_FRDOC_0001-9472,False
FERC-2024-0004-0001,False
CEQ-2023-0003-82033,False
CEQ-2023-0003-82035,False
CEQ-2023-0003-82039,False
FERC-2024-0006-0001,False
ITA_FRDOC_0001-9474,False
CRB-2022-0001-0003,False
FMCSA-2021-0025-0007,False
FMCSA-2023-0026-0001,False
FMCSA-2013-0122-0026,False
FMCSA-2015-0326-0022,False
FMCSA-2015-0329-0029,False
FMCSA-2019-0111-0013,False
FAA-2023-1999-0003,False
FAA-2013-0259-3933,False
FCC-2022-0356-0003,False
ITA_FRDOC_0001-9467,False
EPA-R07-OAR-2023-0582-0013,False
EPA-R07-OAR-2023-0582-0024,False
VA-2024-VHA-0003-0002,False
VA-2024-VACO-0002-0001,False
FAA-2024-0023-0001,False
DOT-OST-1998-3304-1301,False
EERE-2009-BT-BC-0021-2581,False
FDA-2023-H-5635-0001,False
FTC-2023-0055-0006,False
EERE-2009-BT-BC-0021-2588,False
FDA-2023-N-5653-0001,False
DOT-OST-2023-0192-0002,False
EERE-2009-BT-BC-0021-2571,False
FAA-2023-2421-0002,False
FERC-2024-0001-0001,False
EERE-2009-BT-BC-0021-2597,False
EERE-2009-BT-BC-0021-2596,False
EERE-2009-BT-BC-0021-2612,False
EERE-2009-BT-BC-0021-2605,False
FAA-2024-0024-0001,False
USCG-2023-0843-0012,False
FDA-2023-H-5716-0001,False
EERE-2009-BT-BC-0021-2606,False
FAA-2023-1892-0005,False
EERE-2009-BT-BC-0021-2615,False
EERE-2009-BT-BC-0021-2611,False
EERE-2009-BT-BC-0021-2598,False
EERE-2009-BT-BC-0021-2599,False
EERE-2009-BT-BC-0021-2603,False
FAA-2019-0002-0009,False
FAA-2024-0046-0001,False
FAA-2024-0047-0001,False
USCG-2023-0949-0002,False
FDA-2023-P-4287-0008,False
FMCSA-2023-0143-0003,False
FDA-2019-N-5959-50875,False
NOAA-NMFS-2023-0110-0008,False
NOAA-NMFS-2023-0110-0009,False
NRC-2023-0198-0001,False
DOT-OST-2016-0011-0093,False
DOT-OST-2015-0058-0032,False
DOT-OST-2015-0244-0034,False
FDA-2023-H-5735-0001,False
FDA-2023-H-5725-0001,False
NOAA-NMFS-2023-0110-0003,False
VA-2024-VACO-0001-0001,False
EPA_FRDOC_0001-30347,False
ITA_FRDOC_0001-9479,False
FRS-2024-0002-0001,False
USPS-2024-0002-0001,False
ITA_FRDOC_0001-9482,False
FERC-2024-0014-0001,False
FAA-2023-1896-0004,False
FAA-2017-0644-0008,False
FAA-2023-1775-0002,False
FAA-2024-0051-0001,False
STB-2024-0001-0001,False
EPA-R09-OAR-2023-0449-0004,False
EPA-R09-OAR-2023-0449-0002,False
EPA-HQ-OPP-2023-0154-0048,False
FDA-2023-H-5731-0001,False
FDA-2023-H-5732-0001,False
FDA-2023-H-5733-0001,False
FDA-2023-H-5739-0001,False
FAA-2023-2447-0002,False
FAA-2023-2451-0002,False
FAA-2023-1999-0004,False
FDA-2023-H-5742-0001,False
FDA-2023-H-5714-0001,False
FAA-2022-1587-0006,False
FAA-2023-1648-0006,False
FDA-2023-H-5728-0001,False
FAA-2024-0058-0002,False
FAA-2024-0058-0003,False
FAA-2017-0942-0016,False
FDA-2000-P-1381-0002,False
FMCSA-2023-0104-0005,False
FRA-2023-0014-0013,False
EPA-HQ-OAR-2004-0042-0089,False
EPA-HQ-OAR-2004-0233-0124,False
EPA-HQ-OAR-2004-0233-0136,False
EPA-HQ-OAR-2003-0072-0399,False
EPA-HQ-OAR-2003-0072-0408,False
EPA-HQ-OAR-2003-0072-0416,False
EPA-HQ-OAR-2003-0072-0420,False
EPA-HQ-OAR-2003-0072-0431,False
EPA-HQ-OAR-2003-0072-0447,False
EPA-HQ-OAR-2003-0072-0451,False
EPA-HQ-OAR-2003-0072-0455,False
EPA-HQ-OAR-2003-0072-0464,False
EPA-HQ-OAR-2003-0017-0428,False
EPA-HQ-OAR-2003-0017-0440,False
EPA-HQ-OAR-2003-0017-0445,False
FAA-2023-2415-0002,False
FAA-2023-2419-0002,False
FAA-2024-0002-0001,False
FAA-2024-0003-0001,False
FDA-2023-H-5694-0001,False
FAA-2023-2270-0007,False
FDA-2023-H-5696-0001,False
FDA-2023-N-0937-0067,False
FDA-2023-H-5697-0001,False
USC-RULES-AP-2023-0001-0006,False
ITA_FRDOC_0001-9462,False
USJC-2024-0001-0001,False
RRB-2024-0001-0001,False
FDA-2023-H-5651-0001,False
FDA-2023-H-5599-0001,False
EPA-HQ-OAR-2003-0017-0430,False
EPA-HQ-OAR-2003-0017-0439,False
FAA-2024-0001-0002,False
FDA-2023-H-5309-0001,False
FAA-2024-0005-0001,False
FAA-2024-0004-0001,False
FDA-2023-H-5690-0001,False
FDA-2023-H-5691-0001,False
FDA-2023-H-5692-0001,False
FDA-2023-U-5727-0001,False
EPA-HQ-OAR-1983-0057-0621,False
EPA-HQ-OAR-1983-0057-0624,False
